Customer ID,Customer Name,Age,Email,Address,Phone Number,Income,Product ID
98-3411103,Florinda Itzchaki,25,,0 Columbus Court,887-789-8143,474004,85-1849180
35-8811293,Sheryl Totterdill,52,,39 Magdeline Park,429-339-6120,278315,91-7433306
92-5601128,Aeriel Edgin,71,aedgin29@liveinternet.ru,85505 Westport Pass,377-729-2268,88887,38-4430268
53-2501718,Sheela Garmans,,sgarmans2a@youtu.be,34121 Manley Pass,356-185-5990,5315,74-0876658
35-2796876,Marlo Bavister,88,mbavister2b@lulu.com,4465 Forest Run Parkway,770-962-6506,,91-1529812
43-3797456,Kaycee Gimert,,kgimert2c@jugem.jp,7 Rowland Center,567-566-7928,396610,91-8452380
61-9451150,Elsinore Bellin,49,ebellin2d@webmd.com,6 Vermont Alley,334-187-1450,299498,36-9245592
74-6330638,Andrei Ranyard,70,aranyard2e@europa.eu,1 Eastwood Terrace,126-129-4033,,66-4336876
94-3904641,Nilson Barhams,,nbarhams2f@mozilla.org,39 Spaight Park,988-864-6783,,38-9163735
03-4292769,Bryn Lapre,43,blapre2g@oracle.com,028 Mesta Crossing,810-794-6580,,08-2002319
40-3324116,Lilias Wharmby,,lwharmby2h@meetup.com,38 Erie Circle,510-669-9217,287817,73-0542985
91-5164482,Marnia Ewington,,mewington2i@arstechnica.com,7 Maywood Parkway,590-540-7455,,91-2009960
61-0740973,Doy Vondracek,28,dvondracek2j@storify.com,,501-761-2258,246012,43-6466317
11-8316178,Elaina Vonderdell,75,evonderdell2k@sphinn.com,177 Independence Drive,437-242-5992,380628,35-1836133
67-1317299,Gayel Guppie,71,gguppie2l@fotki.com,829 Blaine Hill,954-350-4087,25553,71-0319582
87-4931154,Ulric Bettinson,74,ubettinson2m@nih.gov,1 Oak Plaza,793-964-6594,432283,04-3960497
79-2984970,Fernanda Brockley,79,fbrockley2n@posterous.com,0 Glendale Drive,318-185-3736,378614,41-6623714
39-0995249,Chrissy De Metz,53,cde2o@hao123.com,8 Hanson Terrace,993-470-3344,52423,21-2435031
82-5303152,Breanne Blaase,46,bblaase2p@blogger.com,1507 Schurz Lane,155-979-3720,407960,15-8291991
71-0372743,Alyse Scullard,67,ascullard2q@netscape.com,,929-569-3341,275267,92-9788723
58-5393945,Fifine Salasar,85,fsalasar2r@addthis.com,907 Morningstar Park,953-127-8473,452880,87-0576421
06-6916279,Chandler Juszkiewicz,53,cjuszkiewicz2s@naver.com,87249 Morning Trail,467-922-7080,,29-6717258
29-1377593,Rosella Belloch,,rbelloch2t@latimes.com,41824 Scott Parkway,593-138-6945,,68-5651065
53-6099727,Rob Marcinkowski,22,rmarcinkowski2u@hp.com,15 Kingsford Crossing,907-461-6288,191553,
56-7818121,Marshal Kirgan,74,mkirgan2v@phoca.cz,23842 Bashford Hill,274-500-3651,523916,
23-9070226,Deonne Lowndesbrough,44,dlowndesbrough2w@apache.org,0 Rutledge Avenue,540-586-4678,518995,14-6980170
30-6067665,Donnamarie Dollman,73,ddollman2x@wikia.com,,581-716-4810,48860,07-6578046
15-2928387,Kaiser Georgiev,,,,936-665-4479,465940,87-4508805
09-6272934,Marv Brotherick,32,mbrotherick2z@deviantart.com,3347 Warbler Plaza,695-573-7368,150109,20-6327313
36-2787829,Selestina Ralston,37,sralston30@psu.edu,,826-750-9169,,92-1832780
83-0672419,Iorgo Zamorano,,izamorano31@adobe.com,82014 Scofield Plaza,382-480-4020,425030,07-4304705
79-6139455,Kerianne Cocksedge,67,kcocksedge32@lulu.com,14733 Old Gate Alley,300-937-7775,546939,83-9491892
25-4372164,Calley Churchward,76,,082 Elka Center,218-181-2549,568371,29-4851279
11-9946364,Philip Verling,78,pverling34@zimbio.com,29230 Sommers Junction,336-648-6129,654998,30-3560576
36-9478955,Katha Lorence,43,klorence35@posterous.com,69007 Londonderry Alley,989-813-5638,55349,
40-7650285,Jacinda Berntssen,37,jberntssen36@elegantthemes.com,7 Cardinal Place,657-711-8437,324225,04-8183435
00-0992467,Daveta Rudeforth,,drudeforth37@fastcompany.com,8510 North Terrace,255-709-5697,51888,81-6923732
81-1757841,Terza Sphinxe,61,tsphinxe38@twitter.com,322 Shelley Lane,906-424-7674,548618,12-4966590
83-1790014,Klement Bakewell,17,kbakewell39@list-manage.com,07858 Melody Plaza,753-400-8858,,46-5223292
53-5000016,Baily Huban,75,bhuban3a@tripod.com,235 Hayes Junction,106-105-1657,,70-8702362
18-7905757,Denny Meaking,37,dmeaking3b@amazon.com,1 Starling Street,471-997-0854,259211,01-2264632
58-8165221,Lilith Crossley,56,lcrossley3c@timesonline.co.uk,654 Wayridge Avenue,246-619-9601,526104,15-5012122
95-4911723,Astra Poore,64,apoore3d@altervista.org,3664 Mandrake Alley,755-986-7420,8752,80-6812822
05-8699108,Leontyne Terrazzo,58,,1318 Sutherland Parkway,975-810-1292,337877,06-5762092
01-8595438,Lucie Jahan,68,ljahan3f@51.la,36 West Alley,291-399-4764,307262,
71-6289819,Iggy Sate,,isate3g@arizona.edu,,199-793-8171,,32-4221148
00-5151670,Priscella Buney,68,pbuney3h@rediff.com,6 Dawn Lane,140-959-1939,16617,23-6021796
41-1858859,Pansie Birkinshaw,54,pbirkinshaw3i@marketwatch.com,22321 Waxwing Lane,571-757-7495,444359,13-1525908
52-3231036,Nance Kuhlen,75,nkuhlen3j@indiatimes.com,8 Meadow Valley Crossing,880-937-6346,620278,01-6645527
56-5783416,Carlo Elce,55,,2 Colorado Terrace,904-571-6337,21609,35-5381244
98-7278185,Ky Dumper,,kdumper3l@goo.gl,483 Tony Hill,462-181-5963,,99-0278295
55-0136860,Ailsun Lofthouse,61,,,769-758-5687,496424,28-5101799
17-3691011,Goddard Greenrde,22,ggreenrde3n@de.vu,10422 Clove Place,987-469-0938,293521,03-2528625
89-4319703,Durand Mears,33,dmears3o@msu.edu,480 Arapahoe Way,505-562-4156,288439,72-3465467
20-1358319,Montgomery Evensden,88,mevensden3p@google.de,00 Bobwhite Street,169-216-5120,405763,42-5663259
52-6725560,Monroe Osgerby,48,mosgerby3q@hc360.com,03 Sachtjen Trail,183-425-9229,39759,72-1440567
80-8463724,Lief MacGettigen,36,lmacgettigen3r@netscape.com,90 Sunbrook Way,211-370-0590,215836,99-0269178
73-9426860,Kris Cuberley,33,kcuberley3s@reference.com,0 Autumn Leaf Pass,618-820-5450,53739,56-8191617
61-7751905,Dre Gerritzen,61,dgerritzen3t@prnewswire.com,71292 Toban Park,392-551-9491,62840,46-3112702
48-6254706,Gaven Sisland,29,gsisland3u@squidoo.com,3 Annamark Crossing,444-656-2315,,40-1634672
19-4778260,Elsbeth Keward,29,ekeward3v@twitpic.com,520 Rigney Road,201-263-7073,77683,65-2143593
61-5525966,Othilie Spatig,46,ospatig3w@t.co,9327 Bashford Circle,465-927-1310,,56-4996263
57-9284090,Adolphus Roffe,32,aroffe3x@sitemeter.com,48604 Longview Drive,998-722-1419,,01-4712122
50-7043405,Roby Keppie,47,rkeppie3y@oracle.com,230 Bowman Court,979-798-1984,120854,08-8870503
64-7456554,Cathrine Beynkn,55,cbeynkn3z@hugedomains.com,,268-310-4509,,
47-5134780,Gilburt Pearne,50,gpearne40@acquirethisname.com,436 Bluestem Park,980-554-5585,378097,97-9801329
78-9174754,Margeaux Boulsher,44,mboulsher41@psu.edu,3360 Logan Point,506-847-9386,,78-5795832
59-1136940,Aimee Staples,27,astaples42@blog.com,4 Park Meadow Point,746-955-7496,627327,52-8743924
69-1395318,Billye Corpes,37,bcorpes43@cbc.ca,475 Springs Avenue,768-907-6723,374611,33-2159547
40-0861056,Zandra Elkin,,zelkin44@hc360.com,0 Melrose Court,957-531-1576,531642,93-5837678
61-3434187,Nickey Gouldthorp,34,ngouldthorp45@earthlink.net,484 Oriole Street,922-775-9059,,64-8015178
08-5409183,Masha Frith,61,mfrith46@disqus.com,786 Harper Drive,795-337-9802,,65-2889948
04-8711631,Elena Murphy,36,,65 Emmet Lane,848-362-1156,,01-5025464
94-1318292,Daphene Dickins,61,ddickins48@fotki.com,9 Superior Court,620-262-7133,279025,23-6352202
77-6065206,Elayne Wynrehame,,ewynrehame49@nba.com,8974 Kim Hill,290-343-5334,376074,10-7139629
61-1727002,Melessa Gurery,17,mgurery4a@cbc.ca,264 Northridge Trail,945-587-0616,,47-6123044
06-0701241,Any Benettolo,19,abenettolo4b@virginia.edu,845 Kipling Court,203-768-1893,321973,65-4961710
63-7571475,Foster Sigart,22,fsigart4c@unc.edu,13 Drewry Way,308-323-3943,546504,01-0265066
81-9017957,Reinaldos Cranson,39,rcranson4d@mac.com,233 Susan Plaza,253-859-8068,396498,12-8063260
42-9439685,Steffi Zuppa,23,szuppa4e@devhub.com,8487 Lighthouse Bay Street,634-298-0589,78643,88-0030065
90-1384103,Ezra Theakston,38,etheakston4f@youtu.be,7 Summer Ridge Place,276-989-7777,42324,58-8039109
41-6210171,Ediva Relf,41,erelf4g@nasa.gov,,983-204-2267,,92-0205077
48-3264416,Lyell Heiden,48,lheiden4h@dmoz.org,8099 Superior Way,597-379-0326,220409,29-7901289
47-3064579,Charissa Wilderspoon,63,,228 Dunning Park,696-586-4372,416410,03-1873811
02-1949155,Letizia Caush,52,lcaush4j@icq.com,450 Crest Line Street,520-476-9620,,76-7732198
04-6890598,Renelle Jacklin,16,rjacklin4k@businessinsider.com,285 Stephen Lane,904-766-4924,,92-0330466
75-1301514,Link Farre,30,lfarre4l@comsenz.com,894 Grover Drive,769-532-6675,652357,17-8364047
59-1652828,Leanor Ivett,,livett4m@ted.com,,148-939-9008,80027,
63-2710573,Eddy Tappington,79,etappington4n@sourceforge.net,7802 American Avenue,148-201-9799,,60-5981263
56-6143883,Dulci Santello,69,dsantello4o@imgur.com,20 Eagan Crossing,202-343-5568,324702,78-3035590
87-9817288,Karin Chevalier,39,kchevalier4p@ft.com,33257 Northport Street,425-170-0864,507183,22-4135809
79-0997292,Verne Hessentaler,,vhessentaler4q@1688.com,058 Northridge Crossing,909-144-4942,121702,30-1546830
55-3738295,Meg Pavitt,23,mpavitt4r@shareasale.com,87 Vermont Crossing,709-248-8832,566905,55-3562770
48-7687670,Joya Bordes,20,jbordes4s@soundcloud.com,6171 Dahle Alley,581-968-4792,51275,04-3242567
66-4183715,Eugine Drynan,73,edrynan4t@twitpic.com,1822 North Plaza,539-926-1963,566660,
13-2001115,Chadd Doring,74,cdoring4u@ezinearticles.com,03 Ridgeway Circle,779-394-3157,103090,
02-6751627,Ester Garlick,42,egarlick4v@paginegialle.it,42 Heath Junction,323-101-2467,,02-8346073
43-0422224,Laurianne Tryhorn,55,ltryhorn4w@miitbeian.gov.cn,0753 Pierstorff Center,506-794-2384,179652,94-6047579
92-2552221,Helsa Yearnes,,hyearnes4x@dailymail.co.uk,8 Springs Terrace,340-698-0557,,67-1307089
91-1440355,Odetta Doxsey,30,odoxsey4y@odnoklassniki.ru,535 Graceland Junction,543-595-0157,154953,
65-4983822,Corny Marklow,49,cmarklow4z@360.cn,09 Morningstar Terrace,322-122-3877,73856,
83-8240132,Durward Espinheira,,,85440 Sundown Crossing,216-248-9634,346810,89-6877201
22-8576250,Son Vigar,48,svigar51@tinyurl.com,9803 Sugar Terrace,519-864-6884,531623,31-3048214
72-5684800,Caralie Tolliday,17,ctolliday52@wsj.com,9 Myrtle Hill,577-992-7244,403925,97-3302789
91-7154333,Niel Bartolomeotti,23,nbartolomeotti53@senate.gov,,596-624-8977,362564,09-5568894
07-8177018,Helaine Gaylor,56,hgaylor54@vinaora.com,2326 Havey Drive,933-259-1421,,03-8548820
97-3228831,Fifi Ledner,,fledner55@squarespace.com,797 Golden Leaf Circle,296-300-9516,132338,24-7327323
97-0956833,Carole Schuster,48,cschuster56@altervista.org,,163-963-8752,,59-2495427
43-2812888,Isabeau Arnould,73,iarnould57@wiley.com,4885 Bobwhite Park,828-592-3024,650251,24-8974233
60-5341941,Hilde Wannes,76,hwannes58@bbb.org,48 Division Terrace,951-264-5760,151792,08-7280182
56-6812481,Glenn Frenzl,34,gfrenzl59@slideshare.net,4 Forest Circle,348-451-2239,487405,
68-0663997,Leonie Kidds,38,lkidds5a@facebook.com,79768 Michigan Lane,825-797-8463,437144,74-9459740
58-8486221,Ninon Balchen,24,nbalchen5b@harvard.edu,46 Leroy Parkway,335-100-4424,344737,42-4267767
09-1782865,Palmer Rafferty,52,prafferty5c@skype.com,5 Larry Road,754-477-8960,196940,65-5090224
17-0776315,Bellanca Ick,,bick5d@google.com.au,,594-656-2355,399763,09-2785549
84-0724575,Tamera Eddoes,66,teddoes5e@constantcontact.com,7183 Atwood Road,567-991-1255,,83-7310742
94-2744588,Una Roles,24,,57100 Cascade Park,281-381-4499,488419,76-6280863
19-6588783,Lammond McGilvary,45,lmcgilvary5g@sina.com.cn,,920-542-3599,,52-6345524
83-3631997,Kylie Simeone,77,ksimeone5h@youku.com,0 Dawn Road,186-337-3242,,27-1897796
24-5238347,Bobbi Cocking,73,,81348 Mallard Way,180-145-0431,572687,10-4030711
70-4105341,Dorine Kingsworth,59,dkingsworth5j@pbs.org,29 Ridge Oak Place,249-726-1204,224149,25-8608682
76-6805033,Judy Lowther,53,jlowther5k@soundcloud.com,4180 Kennedy Center,507-540-7510,589937,56-7642860
03-4868325,Margareta Beedom,79,mbeedom5l@hc360.com,76459 Sunfield Way,761-830-9327,,28-1351046
18-6178509,Lesli Enticknap,64,lenticknap5m@weebly.com,1340 Lien Drive,277-357-6017,614619,08-9713688
26-0878098,Alida Saulter,86,asaulter5n@ihg.com,68 Esch Alley,376-634-0897,485722,96-4095166
73-5733924,Randall Priddie,31,,2 Butterfield Way,704-318-1244,315084,52-7185295
75-6637976,Godwin Babbidge,87,gbabbidge5p@cbslocal.com,8736 Bluejay Road,265-307-3955,88171,
72-8437140,Filmore Lathee,85,flathee5q@cocolog-nifty.com,8414 Sachs Park,276-439-5338,611265,56-4895787
38-1654624,Hinda Wauchope,33,hwauchope5r@soundcloud.com,4511 Warner Parkway,291-744-6567,56290,50-4205480
54-1245311,Warren Reynalds,82,,58 Farmco Plaza,206-345-9088,307762,49-4654490
29-7961762,Coralyn Rubinsohn,38,crubinsohn5t@stumbleupon.com,3 Sauthoff Road,363-230-0618,278069,07-2511190
95-2856206,Siffre Assad,71,sassad5u@unicef.org,586 Namekagon Court,434-183-2533,566341,37-3090745
96-7104020,Kerk Fenwick,55,kfenwick5v@alibaba.com,3 Fisk Lane,622-593-5041,49595,94-9670641
21-5461870,Myrtice Poore,76,mpoore5w@sina.com.cn,0 Glendale Avenue,840-122-2018,431085,85-2077128
36-4495977,Randy Spata,34,rspata5x@europa.eu,71926 New Castle Hill,174-666-2459,,50-4045120
96-7671844,Connie Philippault,51,cphilippault5y@symantec.com,38 Elgar Parkway,825-592-3606,,90-8438412
07-5730802,Mylo Yirrell,16,myirrell5z@sakura.ne.jp,38013 Dottie Drive,425-460-7259,,21-5116410
30-8841250,Kala Payton,52,kpayton60@opera.com,,141-937-0136,,
06-6844401,Eloise Henzley,72,ehenzley61@feedburner.com,2363 American Ash Court,122-370-9216,36575,36-5233992
54-4662321,Vin Sickamore,88,vsickamore62@pen.io,26758 Coleman Street,762-658-7453,339723,23-3594889
59-2813080,Jerald Lowthorpe,18,jlowthorpe63@ted.com,,915-685-4717,,
01-8400990,Willyt Gatteridge,,wgatteridge64@mlb.com,9 Tomscot Junction,455-846-6864,,64-3264346
29-1509297,Lari Hadgkiss,58,lhadgkiss65@sourceforge.net,4 Barby Alley,259-383-5665,312615,42-9879704
94-0083567,Hammad Crosskill,18,hcrosskill66@behance.net,47 Loeprich Street,304-549-9934,500417,72-0237146
18-6700769,Algernon Messiter,74,amessiter67@dot.gov,3989 Hollow Ridge Plaza,238-962-3509,,61-9317960
85-8668142,Homere Negal,,hnegal68@google.com,779 Pepper Wood Drive,953-771-0012,632087,28-3930922
59-8187081,Harris Jehu,36,hjehu69@google.com.br,,461-351-5141,128728,09-4301344
50-3518931,Charmion Piscotti,31,,978 Moose Alley,755-375-4338,92801,62-3054638
75-1324801,Peggie Valerio,60,,,266-752-3233,410062,83-7282303
78-8482129,Leslie Boother,17,,024 Cordelia Pass,819-849-5200,,15-2901108
94-8759848,Roze Cosby,19,rcosby6d@craigslist.org,1358 Ramsey Trail,835-165-2573,,06-8450584
38-7546837,Mona Ximenez,45,mximenez6e@studiopress.com,3 Morning Lane,651-381-7142,480529,56-6380736
18-7028112,Barbabra Ketteridge,34,,445 Bluestem Pass,218-140-2446,452396,
37-7943140,Shea Colbeck,85,scolbeck6g@vk.com,0 Forest Dale Place,373-186-1144,352744,17-3018071
65-0689028,Sol Kloisner,,skloisner6h@hao123.com,,734-590-2654,,82-3004967
93-1656282,Jany Joder,77,jjoder6i@seesaa.net,5 Del Sol Street,633-160-2561,61745,85-8185790
30-7191299,Pooh Rumble,63,prumble6j@skyrock.com,6287 Blackbird Way,288-317-6892,29644,72-4617520
49-9637871,Loutitia Favelle,70,lfavelle6k@ted.com,63 Colorado Court,398-864-5159,369601,95-4823119
92-1493245,Delphinia Farnes,17,dfarnes6l@forbes.com,087 Kennedy Road,181-272-0776,296258,53-7157390
21-0951098,Alejandra Maliphant,86,amaliphant6m@plala.or.jp,75754 Dexter Plaza,841-560-3384,,47-1836218
39-4082185,Arney Kikke,73,akikke6n@nymag.com,4 Mifflin Avenue,241-409-6731,580610,56-0830702
05-5536583,Damita Cockroft,70,dcockroft6o@freewebs.com,64 Stang Place,850-581-2734,,81-7342687
98-3898199,Oralla Gradwell,27,ogradwell6p@meetup.com,079 Mosinee Terrace,836-810-2143,486844,64-9891272
26-9187063,Bonita Iori,29,biori6q@hp.com,39929 Chinook Terrace,915-394-5637,,32-2905034
60-6056646,Vassili Frankel,,vfrankel6r@opera.com,2 School Road,292-542-7126,420753,39-0854803
69-9121175,Kipp Girtin,62,kgirtin6s@sciencedirect.com,,519-335-5806,580900,56-8971059
77-5471378,Ermin Quixley,45,equixley6t@reddit.com,22 Grover Street,304-801-5537,246978,54-2922196
23-1533848,Almeda Vobes,45,avobes6u@umn.edu,00038 Graedel Street,664-859-9840,354640,73-3665446
96-5900297,Grace Wigin,58,gwigin6v@furl.net,3 Paget Street,862-880-0084,510218,43-6975179
27-6046012,Austine Hulcoop,56,ahulcoop6w@gravatar.com,88 Chinook Trail,751-490-0376,528705,96-2238972
78-9066385,Aurlie Jacob,,ajacob6x@github.com,3463 Nobel Alley,379-787-2121,,45-1114475
06-7172282,Kenn Haverson,58,khaverson6y@discovery.com,76992 Dottie Lane,164-232-1619,39681,16-0088937
19-0633277,Herve Greystock,54,hgreystock6z@uiuc.edu,6360 North Hill,276-133-7123,229073,86-7104830
46-2144119,Gardie Sherwyn,70,gsherwyn70@studiopress.com,61 Dwight Avenue,664-982-6074,106317,42-4916483
85-1342455,Cathe Rangall,28,crangall71@ow.ly,72764 Kenwood Park,482-511-3232,,27-0703355
12-2034365,Veronique Kasper,46,vkasper72@ft.com,87 Barnett Terrace,255-576-7119,467104,
59-7344418,Stephana Gerrie,41,sgerrie73@umich.edu,875 Blue Bill Park Trail,770-623-1633,129785,90-9486318
84-2013077,Quentin Decreuze,,,4330 Main Avenue,162-844-0647,598445,44-5547633
